id,scene_id,image,query_type,question,option_A,option_B,option_C,option_D,option_E,answer,answer_text,split_group,ood_axis,layout_family,lighting_condition,clutter_level,difficulty_tier,task_family
cw_scene029_q01,scene_029,images/scene_029.png,gauge_reading,What two-digit pressure value is displayed on the PSI gauge?,18,35,26,22,31,E,31,ood_low_light,low_light,left_cassette,low_light,medium,hard,instrument_reading
cw_scene029_q02,scene_029,images/scene_029.png,led_state,Which module shows the cyan status LED?,Module A,Module B,Module E,Module C,Module D,A,Module A,ood_low_light,low_light,left_cassette,low_light,medium,hard,instrument_reading
cw_scene029_q03,scene_029,images/scene_029.png,cable_connection,Which port is connected to the purple cable?,P2,P4,P1,P3,P5,C,P1,ood_low_light,low_light,left_cassette,low_light,medium,hard,connection_audit
cw_scene029_q04,scene_029,images/scene_029.png,robot_alignment,Which station is the orange robot arm pointing toward?,Station E,Station B,Station D,Station A,Station C,A,Station E,ood_low_light,low_light,left_cassette,low_light,medium,hard,wafer_tracking
cw_scene029_q05,scene_029,images/scene_029.png,defect_location,Where is the magenta particle marker located on the cassette area?,lower-left,lower-right,upper-right,upper-left,center,D,upper-left,ood_low_light,low_light,left_cassette,low_light,medium,hard,defect_audit
cw_scene029_q06,scene_029,images/scene_029.png,lot_code,What two-digit lot code is shown on the pod label?,19,47,62,81,74,C,62,ood_low_light,low_light,left_cassette,low_light,medium,hard,instrument_reading
cw_scene029_q07,scene_029,images/scene_029.png,route_order,"In the route strip, which waypoint comes immediately after waypoint 5?",4,5,2,1,3,E,3,ood_low_light,low_light,left_cassette,low_light,medium,hard,route_memory
cw_scene030_q00,scene_030,images/scene_030.png,slot_color,Which cassette slot contains the amber wafer?,Slot 2,Slot 1,Slot 5,Slot 4,Slot 3,A,Slot 2,ood_low_light,low_light,compact_panel,low_light,medium,hard,wafer_tracking
cw_scene030_q01,scene_030,images/scene_030.png,gauge_reading,What two-digit pressure value is displayed on the PSI gauge?,35,26,31,18,22,C,31,ood_low_light,low_light,compact_panel,low_light,medium,hard,instrument_reading
cw_scene030_q02,scene_030,images/scene_030.png,led_state,Which module shows the cyan status LED?,Module E,Module C,Module A,Module B,Module D,B,Module C,ood_low_light,low_light,compact_panel,low_light,medium,hard,instrument_reading
cw_scene030_q03,scene_030,images/scene_030.png,cable_connection,Which port is connected to the yellow cable?,P1,P5,P3,P4,P2,E,P2,ood_low_light,low_light,compact_panel,low_light,medium,hard,connection_audit
cw_scene030_q04,scene_030,images/scene_030.png,robot_alignment,Which station is the orange robot arm pointing toward?,Station D,Station B,Station E,Station A,Station C,A,Station D,ood_low_light,low_light,compact_panel,low_light,medium,hard,wafer_tracking
cw_scene030_q05,scene_030,images/scene_030.png,defect_location,Where is the magenta particle marker located on the cassette area?,upper-left,upper-right,center,lower-left,lower-right,A,upper-left,ood_low_light,low_light,compact_panel,low_light,medium,hard,defect_audit
cw_scene030_q06,scene_030,images/scene_030.png,lot_code,What two-digit lot code is shown on the pod label?,28,17,35,71,56,A,28,ood_low_light,low_light,compact_panel,low_light,medium,hard,instrument_reading
cw_scene030_q07,scene_030,images/scene_030.png,route_order,"In the route strip, which waypoint comes immediately after waypoint 4?",1,5,3,4,2,E,2,ood_low_light,low_light,compact_panel,low_light,medium,hard,route_memory
cw_scene031_q00,scene_031,images/scene_031.png,slot_color,Which cassette slot contains the amber wafer?,Slot 3,Slot 1,Slot 5,Slot 4,Slot 2,B,Slot 1,ood_low_light,low_light,left_cassette,low_light,medium,hard,wafer_tracking
cw_scene031_q01,scene_031,images/scene_031.png,gauge_reading,What two-digit pressure value is displayed on the PSI gauge?,35,22,18,26,31,C,18,ood_low_light,low_light,left_cassette,low_light,medium,hard,instrument_reading
cw_scene031_q02,scene_031,images/scene_031.png,led_state,Which module shows the cyan status LED?,Module A,Module E,Module B,Module C,Module D,A,Module A,ood_low_light,low_light,left_cassette,low_light,medium,hard,instrument_reading
cw_scene031_q03,scene_031,images/scene_031.png,cable_connection,Which port is connected to the yellow cable?,P2,P3,P5,P4,P1,C,P5,ood_low_light,low_light,left_cassette,low_light,medium,hard,connection_audit
cw_scene031_q04,scene_031,images/scene_031.png,robot_alignment,Which station is the orange robot arm pointing toward?,Station B,Station A,Station C,Station E,Station D,B,Station A,ood_low_light,low_light,left_cassette,low_light,medium,hard,wafer_tracking
cw_scene031_q05,scene_031,images/scene_031.png,defect_location,Where is the magenta particle marker located on the cassette area?,lower-right,upper-right,center,lower-left,upper-left,E,upper-left,ood_low_light,low_light,left_cassette,low_light,medium,hard,defect_audit
cw_scene031_q06,scene_031,images/scene_031.png,lot_code,What two-digit lot code is shown on the pod label?,59,16,96,29,62,A,59,ood_low_light,low_light,left_cassette,low_light,medium,hard,instrument_reading
cw_scene031_q07,scene_031,images/scene_031.png,route_order,"In the route strip, which waypoint comes immediately after waypoint 2?",3,2,1,5,4,A,3,ood_low_light,low_light,left_cassette,low_light,medium,hard,route_memory
cw_scene032_q00,scene_032,images/scene_032.png,slot_color,Which cassette slot contains the cyan wafer?,Slot 4,Slot 1,Slot 5,Slot 3,Slot 2,E,Slot 2,ood_glare,glare,left_cassette,glare,medium,hard,wafer_tracking
cw_scene032_q01,scene_032,images/scene_032.png,gauge_reading,What two-digit pressure value is displayed on the PSI gauge?,26,39,18,22,31,B,39,ood_glare,glare,left_cassette,glare,medium,hard,instrument_reading
cw_scene032_q02,scene_032,images/scene_032.png,led_state,Which module shows the cyan status LED?,Module A,Module D,Module B,Module C,Module E,B,Module D,ood_glare,glare,left_cassette,glare,medium,hard,instrument_reading
cw_scene032_q03,scene_032,images/scene_032.png,cable_connection,Which port is connected to the purple cable?,P4,P3,P1,P2,P5,A,P4,ood_glare,glare,left_cassette,glare,medium,hard,connection_audit
cw_scene032_q04,scene_032,images/scene_032.png,robot_alignment,Which station is the orange robot arm pointing toward?,Station D,Station B,Station E,Station C,Station A,B,Station B,ood_glare,glare,left_cassette,glare,medium,hard,wafer_tracking
cw_scene032_q05,scene_032,images/scene_032.png,defect_location,Where is the magenta particle marker located on the cassette area?,center,upper-left,upper-right,lower-right,lower-left,E,lower-left,ood_glare,glare,left_cassette,glare,medium,hard,defect_audit
cw_scene032_q06,scene_032,images/scene_032.png,lot_code,What two-digit lot code is shown on the pod label?,22,55,58,82,10,C,58,ood_glare,glare,left_cassette,glare,medium,hard,instrument_reading
cw_scene032_q07,scene_032,images/scene_032.png,route_order,"In the route strip, which waypoint comes immediately after waypoint 4?",3,5,1,2,4,C,1,ood_glare,glare,left_cassette,glare,medium,hard,route_memory
cw_scene033_q00,scene_033,images/scene_033.png,slot_color,Which cassette slot contains the cyan wafer?,Slot 3,Slot 4,Slot 2,Slot 5,Slot 1,E,Slot 1,ood_glare,glare,compact_panel,glare,medium,hard,wafer_tracking
cw_scene033_q01,scene_033,images/scene_033.png,gauge_reading,What two-digit pressure value is displayed on the PSI gauge?,22,18,26,35,31,B,18,ood_glare,glare,compact_panel,glare,medium,hard,instrument_reading
cw_scene033_q02,scene_033,images/scene_033.png,led_state,Which module shows the blue status LED?,Module B,Module A,Module C,Module D,Module E,D,Module D,ood_glare,glare,compact_panel,glare,medium,hard,instrument_reading
cw_scene033_q03,scene_033,images/scene_033.png,cable_connection,Which port is connected to the green cable?,P2,P5,P3,P1,P4,A,P2,ood_glare,glare,compact_panel,glare,medium,hard,connection_audit
cw_scene033_q04,scene_033,images/scene_033.png,robot_alignment,Which station is the orange robot arm pointing toward?,Station A,Station E,Station B,Station C,Station D,B,Station E,ood_glare,glare,compact_panel,glare,medium,hard,wafer_tracking
cw_scene033_q05,scene_033,images/scene_033.png,defect_location,Where is the magenta particle marker located on the cassette area?,center,upper-left,upper-right,lower-left,lower-right,B,upper-left,ood_glare,glare,compact_panel,glare,medium,hard,defect_audit
cw_scene033_q06,scene_033,images/scene_033.png,lot_code,What two-digit lot code is shown on the pod label?,20,51,68,75,34,B,51,ood_glare,glare,compact_panel,glare,medium,hard,instrument_reading
cw_scene033_q07,scene_033,images/scene_033.png,route_order,"In the route strip, which waypoint comes immediately after waypoint 1?",1,4,2,3,5,B,4,ood_glare,glare,compact_panel,glare,medium,hard,route_memory
cw_scene034_q00,scene_034,images/scene_034.png,slot_color,Which cassette slot contains the cyan wafer?,Slot 4,Slot 1,Slot 5,Slot 2,Slot 3,B,Slot 1,ood_glare,glare,right_cassette,glare,medium,hard,wafer_tracking
cw_scene034_q01,scene_034,images/scene_034.png,gauge_reading,What two-digit pressure value is displayed on the PSI gauge?,18,31,26,22,71,E,71,ood_glare,glare,right_cassette,glare,medium,hard,instrument_reading
cw_scene034_q02,scene_034,images/scene_034.png,led_state,Which module shows the blue status LED?,Module D,Module B,Module C,Module E,Module A,C,Module C,ood_glare,glare,right_cassette,glare,medium,hard,instrument_reading
cw_scene034_q03,scene_034,images/scene_034.png,cable_connection,Which port is connected to the yellow cable?,P2,P4,P1,P5,P3,E,P3,ood_glare,glare,right_cassette,glare,medium,hard,connection_audit
cw_scene034_q04,scene_034,images/scene_034.png,robot_alignment,Which station is the orange robot arm pointing toward?,Station C,Station A,Station D,Station B,Station E,E,Station E,ood_glare,glare,right_cassette,glare,medium,hard,wafer_tracking
cw_scene034_q05,scene_034,images/scene_034.png,defect_location,Where is the magenta particle marker located on the cassette area?,upper-right,lower-right,upper-left,center,lower-left,E,lower-left,ood_glare,glare,right_cassette,glare,medium,hard,defect_audit
cw_scene034_q06,scene_034,images/scene_034.png,lot_code,What two-digit lot code is shown on the pod label?,22,27,50,80,68,A,22,ood_glare,glare,right_cassette,glare,medium,hard,instrument_reading
cw_scene034_q07,scene_034,images/scene_034.png,route_order,"In the route strip, which waypoint comes immediately after waypoint 5?",3,1,4,2,5,C,4,ood_glare,glare,right_cassette,glare,medium,hard,route_memory
cw_scene035_q00,scene_035,images/scene_035.png,slot_color,Which cassette slot contains the blue wafer?,Slot 5,Slot 1,Slot 4,Slot 3,Slot 2,E,Slot 2,ood_glare,glare,wide_ports,glare,medium,hard,wafer_tracking
cw_scene035_q01,scene_035,images/scene_035.png,gauge_reading,What two-digit pressure value is displayed on the PSI gauge?,31,26,18,22,48,E,48,ood_glare,glare,wide_ports,glare,medium,hard,instrument_reading
cw_scene035_q02,scene_035,images/scene_035.png,led_state,Which module shows the red status LED?,Module C,Module D,Module A,Module E,Module B,B,Module D,ood_glare,glare,wide_ports,glare,medium,hard,instrument_reading
cw_scene035_q03,scene_035,images/scene_035.png,cable_connection,Which port is connected to the yellow cable?,P1,P4,P3,P5,P2,B,P4,ood_glare,glare,wide_ports,glare,medium,hard,connection_audit
cw_scene035_q04,scene_035,images/scene_035.png,robot_alignment,Which station is the orange robot arm pointing toward?,Station D,Station E,Station C,Station B,Station A,C,Station C,ood_glare,glare,wide_ports,glare,medium,hard,wafer_tracking
cw_scene035_q05,scene_035,images/scene_035.png,defect_location,Where is the magenta particle marker located on the cassette area?,upper-right,lower-left,upper-left,lower-right,center,A,upper-right,ood_glare,glare,wide_ports,glare,medium,hard,defect_audit
cw_scene035_q06,scene_035,images/scene_035.png,lot_code,What two-digit lot code is shown on the pod label?,71,47,55,34,23,C,55,ood_glare,glare,wide_ports,glare,medium,hard,instrument_reading
cw_scene035_q07,scene_035,images/scene_035.png,route_order,"In the route strip, which waypoint comes immediately after waypoint 2?",4,2,1,3,5,C,1,ood_glare,glare,wide_ports,glare,medium,hard,route_memory
cw_scene036_q00,scene_036,images/scene_036.png,slot_color,Which cassette slot contains the cyan wafer?,Slot 2,Slot 5,Slot 3,Slot 4,Slot 1,C,Slot 3,ood_occlusion,occlusion,compact_panel,normal,high,hard,wafer_tracking
cw_scene036_q01,scene_036,images/scene_036.png,gauge_reading,What two-digit pressure value is displayed on the PSI gauge?,26,22,35,31,18,E,18,ood_occlusion,occlusion,compact_panel,normal,high,hard,instrument_reading
cw_scene036_q02,scene_036,images/scene_036.png,led_state,Which module shows the green status LED?,Module B,Module E,Module A,Module D,Module C,E,Module C,ood_occlusion,occlusion,compact_panel,normal,high,hard,instrument_reading
cw_scene036_q03,scene_036,images/scene_036.png,cable_connection,Which port is connected to the yellow cable?,P1,P4,P5,P3,P2,D,P3,ood_occlusion,occlusion,compact_panel,normal,high,hard,connection_audit
cw_scene036_q04,scene_036,images/scene_036.png,robot_alignment,Which station is the orange robot arm pointing toward?,Station C,Station D,Station B,Station E,Station A,D,Station E,ood_occlusion,occlusion,compact_panel,normal,high,hard,wafer_tracking
cw_scene036_q05,scene_036,images/scene_036.png,defect_location,Where is the magenta particle marker located on the cassette area?,upper-left,center,upper-right,lower-left,lower-right,E,lower-right,ood_occlusion,occlusion,compact_panel,normal,high,hard,defect_audit
cw_scene036_q06,scene_036,images/scene_036.png,lot_code,What two-digit lot code is shown on the pod label?,49,52,91,40,93,D,40,ood_occlusion,occlusion,compact_panel,normal,high,hard,instrument_reading
cw_scene036_q07,scene_036,images/scene_036.png,route_order,"In the route strip, which waypoint comes immediately after waypoint 4?",3,1,5,4,2,B,1,ood_occlusion,occlusion,compact_panel,normal,high,hard,route_memory
cw_scene037_q00,scene_037,images/scene_037.png,slot_color,Which cassette slot contains the amber wafer?,Slot 4,Slot 2,Slot 1,Slot 3,Slot 5,D,Slot 3,ood_occlusion,occlusion,wide_ports,normal,high,hard,wafer_tracking
cw_scene037_q01,scene_037,images/scene_037.png,gauge_reading,What two-digit pressure value is displayed on the PSI gauge?,35,31,22,18,26,A,35,ood_occlusion,occlusion,wide_ports,normal,high,hard,instrument_reading
cw_scene037_q02,scene_037,images/scene_037.png,led_state,Which module shows the blue status LED?,Module A,Module B,Module E,Module C,Module D,E,Module D,ood_occlusion,occlusion,wide_ports,normal,high,hard,instrument_reading
cw_scene037_q03,scene_037,images/scene_037.png,cable_connection,Which port is connected to the yellow cable?,P3,P4,P2,P1,P5,B,P4,ood_occlusion,occlusion,wide_ports,normal,high,hard,connection_audit
cw_scene037_q04,scene_037,images/scene_037.png,robot_alignment,Which station is the orange robot arm pointing toward?,Station E,Station A,Station C,Station B,Station D,B,Station A,ood_occlusion,occlusion,wide_ports,normal,high,hard,wafer_tracking
cw_scene037_q05,scene_037,images/scene_037.png,defect_location,Where is the magenta particle marker located on the cassette area?,upper-left,upper-right,lower-right,center,lower-left,C,lower-right,ood_occlusion,occlusion,wide_ports,normal,high,hard,defect_audit
cw_scene037_q06,scene_037,images/scene_037.png,lot_code,What two-digit lot code is shown on the pod label?,58,94,59,80,41,E,41,ood_occlusion,occlusion,wide_ports,normal,high,hard,instrument_reading
cw_scene037_q07,scene_037,images/scene_037.png,route_order,"In the route strip, which waypoint comes immediately after waypoint 5?",2,4,3,5,1,A,2,ood_occlusion,occlusion,wide_ports,normal,high,hard,route_memory
cw_scene038_q00,scene_038,images/scene_038.png,slot_color,Which cassette slot contains the green wafer?,Slot 1,Slot 4,Slot 5,Slot 3,Slot 2,A,Slot 1,ood_occlusion,occlusion,right_cassette,normal,high,hard,wafer_tracking
cw_scene038_q01,scene_038,images/scene_038.png,gauge_reading,What two-digit pressure value is displayed on the PSI gauge?,22,35,18,31,26,A,22,ood_occlusion,occlusion,right_cassette,normal,high,hard,instrument_reading
cw_scene038_q02,scene_038,images/scene_038.png,led_state,Which module shows the red status LED?,Module B,Module E,Module C,Module D,Module A,D,Module D,ood_occlusion,occlusion,right_cassette,normal,high,hard,instrument_reading
cw_scene038_q03,scene_038,images/scene_038.png,cable_connection,Which port is connected to the cyan cable?,P5,P4,P3,P1,P2,D,P1,ood_occlusion,occlusion,right_cassette,normal,high,hard,connection_audit
cw_scene038_q04,scene_038,images/scene_038.png,robot_alignment,Which station is the orange robot arm pointing toward?,Station B,Station A,Station C,Station D,Station E,A,Station B,ood_occlusion,occlusion,right_cassette,normal,high,hard,wafer_tracking
cw_scene038_q05,scene_038,images/scene_038.png,defect_location,Where is the magenta particle marker located on the cassette area?,center,lower-left,upper-right,upper-left,lower-right,C,upper-right,ood_occlusion,occlusion,right_cassette,normal,high,hard,defect_audit
cw_scene038_q06,scene_038,images/scene_038.png,lot_code,What two-digit lot code is shown on the pod label?,73,70,61,56,47,C,61,ood_occlusion,occlusion,right_cassette,normal,high,hard,instrument_reading
cw_scene038_q07,scene_038,images/scene_038.png,route_order,"In the route strip, which waypoint comes immediately after waypoint 3?",2,3,4,1,5,D,1,ood_occlusion,occlusion,right_cassette,normal,high,hard,route_memory
cw_scene039_q00,scene_039,images/scene_039.png,slot_color,Which cassette slot contains the green wafer?,Slot 5,Slot 2,Slot 4,Slot 1,Slot 3,D,Slot 1,ood_occlusion,occlusion,left_cassette,normal,high,hard,wafer_tracking
cw_scene039_q01,scene_039,images/scene_039.png,gauge_reading,What two-digit pressure value is displayed on the PSI gauge?,88,18,31,26,22,A,88,ood_occlusion,occlusion,left_cassette,normal,high,hard,instrument_reading
cw_scene039_q02,scene_039,images/scene_039.png,led_state,Which module shows the cyan status LED?,Module D,Module A,Module B,Module C,Module E,D,Module C,ood_occlusion,occlusion,left_cassette,normal,high,hard,instrument_reading
cw_scene039_q03,scene_039,images/scene_039.png,cable_connection,Which port is connected to the purple cable?,P4,P3,P2,P1,P5,E,P5,ood_occlusion,occlusion,left_cassette,normal,high,hard,connection_audit
cw_scene039_q04,scene_039,images/scene_039.png,robot_alignment,Which station is the orange robot arm pointing toward?,Station C,Station E,Station A,Station B,Station D,A,Station C,ood_occlusion,occlusion,left_cassette,normal,high,hard,wafer_tracking
cw_scene039_q05,scene_039,images/scene_039.png,defect_location,Where is the magenta particle marker located on the cassette area?,center,lower-left,upper-right,lower-right,upper-left,B,lower-left,ood_occlusion,occlusion,left_cassette,normal,high,hard,defect_audit
cw_scene039_q06,scene_039,images/scene_039.png,lot_code,What two-digit lot code is shown on the pod label?,45,73,88,53,78,C,88,ood_occlusion,occlusion,left_cassette,normal,high,hard,instrument_reading
cw_scene039_q07,scene_039,images/scene_039.png,route_order,"In the route strip, which waypoint comes immediately after waypoint 5?",2,4,1,5,3,A,2,ood_occlusion,occlusion,left_cassette,normal,high,hard,route_memory
cw_scene040_q00,scene_040,images/scene_040.png,slot_color,Which cassette slot contains the amber wafer?,Slot 1,Slot 4,Slot 2,Slot 5,Slot 3,B,Slot 4,ood_dense_clutter,dense_clutter,right_cassette,blue_cast,high,hard,wafer_tracking
cw_scene040_q01,scene_040,images/scene_040.png,gauge_reading,What two-digit pressure value is displayed on the PSI gauge?,26,22,53,31,18,C,53,ood_dense_clutter,dense_clutter,right_cassette,blue_cast,high,hard,instrument_reading
cw_scene040_q02,scene_040,images/scene_040.png,led_state,Which module shows the red status LED?,Module B,Module D,Module C,Module A,Module E,E,Module E,ood_dense_clutter,dense_clutter,right_cassette,blue_cast,high,hard,instrument_reading
cw_scene040_q03,scene_040,images/scene_040.png,cable_connection,Which port is connected to the cyan cable?,P4,P3,P2,P5,P1,C,P2,ood_dense_clutter,dense_clutter,right_cassette,blue_cast,high,hard,connection_audit
cw_scene040_q04,scene_040,images/scene_040.png,robot_alignment,Which station is the orange robot arm pointing toward?,Station E,Station B,Station D,Station C,Station A,C,Station D,ood_dense_clutter,dense_clutter,right_cassette,blue_cast,high,hard,wafer_tracking
cw_scene040_q05,scene_040,images/scene_040.png,defect_location,Where is the magenta particle marker located on the cassette area?,lower-left,lower-right,upper-left,upper-right,center,C,upper-left,ood_dense_clutter,dense_clutter,right_cassette,blue_cast,high,hard,defect_audit
cw_scene040_q06,scene_040,images/scene_040.png,lot_code,What two-digit lot code is shown on the pod label?,42,98,67,41,68,B,98,ood_dense_clutter,dense_clutter,right_cassette,blue_cast,high,hard,instrument_reading
cw_scene040_q07,scene_040,images/scene_040.png,route_order,"In the route strip, which waypoint comes immediately after waypoint 2?",1,4,3,2,5,C,3,ood_dense_clutter,dense_clutter,right_cassette,blue_cast,high,hard,route_memory
cw_scene041_q00,scene_041,images/scene_041.png,slot_color,Which cassette slot contains the red wafer?,Slot 4,Slot 5,Slot 2,Slot 1,Slot 3,A,Slot 4,ood_dense_clutter,dense_clutter,compact_panel,blue_cast,high,hard,wafer_tracking
cw_scene041_q01,scene_041,images/scene_041.png,gauge_reading,What two-digit pressure value is displayed on the PSI gauge?,82,18,22,26,31,A,82,ood_dense_clutter,dense_clutter,compact_panel,blue_cast,high,hard,instrument_reading
cw_scene041_q02,scene_041,images/scene_041.png,led_state,Which module shows the amber status LED?,Module D,Module B,Module E,Module A,Module C,E,Module C,ood_dense_clutter,dense_clutter,compact_panel,blue_cast,high,hard,instrument_reading
cw_scene041_q03,scene_041,images/scene_041.png,cable_connection,Which port is connected to the purple cable?,P5,P4,P3,P1,P2,D,P1,ood_dense_clutter,dense_clutter,compact_panel,blue_cast,high,hard,connection_audit
cw_scene041_q04,scene_041,images/scene_041.png,robot_alignment,Which station is the orange robot arm pointing toward?,Station D,Station B,Station A,Station C,Station E,C,Station A,ood_dense_clutter,dense_clutter,compact_panel,blue_cast,high,hard,wafer_tracking
cw_scene041_q05,scene_041,images/scene_041.png,defect_location,Where is the magenta particle marker located on the cassette area?,lower-right,center,upper-right,upper-left,lower-left,B,center,ood_dense_clutter,dense_clutter,compact_panel,blue_cast,high,hard,defect_audit
cw_scene041_q06,scene_041,images/scene_041.png,lot_code,What two-digit lot code is shown on the pod label?,62,24,17,16,53,C,17,ood_dense_clutter,dense_clutter,compact_panel,blue_cast,high,hard,instrument_reading
cw_scene041_q07,scene_041,images/scene_041.png,route_order,"In the route strip, which waypoint comes immediately after waypoint 4?",2,3,5,4,1,A,2,ood_dense_clutter,dense_clutter,compact_panel,blue_cast,high,hard,route_memory
cw_scene042_q00,scene_042,images/scene_042.png,slot_color,Which cassette slot contains the amber wafer?,Slot 3,Slot 4,Slot 2,Slot 1,Slot 5,A,Slot 3,ood_dense_clutter,dense_clutter,compact_panel,blue_cast,high,hard,wafer_tracking
cw_scene042_q01,scene_042,images/scene_042.png,gauge_reading,What two-digit pressure value is displayed on the PSI gauge?,35,22,18,31,26,A,35,ood_dense_clutter,dense_clutter,compact_panel,blue_cast,high,hard,instrument_reading
cw_scene042_q02,scene_042,images/scene_042.png,led_state,Which module shows the green status LED?,Module C,Module A,Module E,Module B,Module D,B,Module A,ood_dense_clutter,dense_clutter,compact_panel,blue_cast,high,hard,instrument_reading
cw_scene042_q03,scene_042,images/scene_042.png,cable_connection,Which port is connected to the yellow cable?,P4,P5,P1,P2,P3,D,P2,ood_dense_clutter,dense_clutter,compact_panel,blue_cast,high,hard,connection_audit
cw_scene042_q04,scene_042,images/scene_042.png,robot_alignment,Which station is the orange robot arm pointing toward?,Station A,Station E,Station C,Station B,Station D,A,Station A,ood_dense_clutter,dense_clutter,compact_panel,blue_cast,high,hard,wafer_tracking
cw_scene042_q05,scene_042,images/scene_042.png,defect_location,Where is the magenta particle marker located on the cassette area?,center,lower-right,lower-left,upper-right,upper-left,C,lower-left,ood_dense_clutter,dense_clutter,compact_panel,blue_cast,high,hard,defect_audit
cw_scene042_q06,scene_042,images/scene_042.png,lot_code,What two-digit lot code is shown on the pod label?,59,20,56,26,84,E,84,ood_dense_clutter,dense_clutter,compact_panel,blue_cast,high,hard,instrument_reading
cw_scene042_q07,scene_042,images/scene_042.png,route_order,"In the route strip, which waypoint comes immediately after waypoint 2?",2,1,5,3,4,D,3,ood_dense_clutter,dense_clutter,compact_panel,blue_cast,high,hard,route_memory
cw_scene043_q00,scene_043,images/scene_043.png,slot_color,Which cassette slot contains the amber wafer?,Slot 3,Slot 1,Slot 4,Slot 5,Slot 2,A,Slot 3,ood_dense_clutter,dense_clutter,wide_ports,blue_cast,high,hard,wafer_tracking
cw_scene043_q01,scene_043,images/scene_043.png,gauge_reading,What two-digit pressure value is displayed on the PSI gauge?,31,76,18,26,22,B,76,ood_dense_clutter,dense_clutter,wide_ports,blue_cast,high,hard,instrument_reading
cw_scene043_q02,scene_043,images/scene_043.png,led_state,Which module shows the green status LED?,Module A,Module E,Module D,Module B,Module C,E,Module C,ood_dense_clutter,dense_clutter,wide_ports,blue_cast,high,hard,instrument_reading
cw_scene043_q03,scene_043,images/scene_043.png,cable_connection,Which port is connected to the yellow cable?,P5,P2,P4,P1,P3,B,P2,ood_dense_clutter,dense_clutter,wide_ports,blue_cast,high,hard,connection_audit
cw_scene043_q04,scene_043,images/scene_043.png,robot_alignment,Which station is the orange robot arm pointing toward?,Station B,Station C,Station E,Station D,Station A,C,Station E,ood_dense_clutter,dense_clutter,wide_ports,blue_cast,high,hard,wafer_tracking
cw_scene043_q05,scene_043,images/scene_043.png,defect_location,Where is the magenta particle marker located on the cassette area?,lower-right,center,upper-left,lower-left,upper-right,D,lower-left,ood_dense_clutter,dense_clutter,wide_ports,blue_cast,high,hard,defect_audit
cw_scene043_q06,scene_043,images/scene_043.png,lot_code,What two-digit lot code is shown on the pod label?,64,81,52,78,86,D,78,ood_dense_clutter,dense_clutter,wide_ports,blue_cast,high,hard,instrument_reading
cw_scene043_q07,scene_043,images/scene_043.png,route_order,"In the route strip, which waypoint comes immediately after waypoint 1?",4,2,3,1,5,C,3,ood_dense_clutter,dense_clutter,wide_ports,blue_cast,high,hard,route_memory
